id,customer_id,is_churned,industry_encoded,country_encoded,company_size_log,tenure_days,plan_name_encoded,monthly_price,days_to_renewal,days_since_start,subscription_length_days,total_events,n_upgrades,n_downgrades,n_cancellations,upgrade_ratio,downgrade_ratio,has_downgraded,ticket_count,high_priority,urgent_priority,open_tickets,closed_tickets,tech_issues,billing_issues,avg_resolution_hours,max_resolution_hours,high_priority_ratio,tech_issue_ratio,billing_issue_ratio,has_open_tickets,avg_login_count,total_login_count,max_login_count,avg_session_duration,total_session_duration,max_session_duration,avg_feature_usage,max_feature_usage,min_feature_usage,avg_engagement,max_engagement,min_engagement,avg_active_days,total_active_days,max_active_days,metric_count,days_since_last_active,login_trend,engagement_trend,feature_trend,session_trend
7755eba9-ad08-4153-968a-86887cf2b014,7755eba9-ad08-4153-968a-86887cf2b014,0,1,52,5.117993812416755,0,1,113.0,103,168,272,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.0,32,32,37.3022562907966,37.3022562907966,37.3022562907966,78.6507539070134,78.6507539070134,78.6507539070134,33.8003222136395,33.8003222136395,33.8003222136395,25.0,25,25,1,0,0,0,0,0
a4a43c23-c81e-4c42-b524-b91a98f43462,a4a43c23-c81e-4c42-b524-b91a98f43462,0,3,121,4.624972813284271,0,3,57.0,156,34,191,1,0,0,0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1,15.0,15,15,80.3222639521677,80.3222639521677,80.3222639521677,80.6660453356309,80.6660453356309,80.6660453356309,3.04934913499277,3.04934913499277,3.04934913499277,20.0,20,20,1,0,0,0,0,0
fea78078-2b6f-448f-9184-31fe36a9b6f0,fea78078-2b6f-448f-9184-31fe36a9b6f0,0,4,133,3.2188758248682006,0,0,84.0,5,26,32,1,0,1,0,0.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,90,90,33.6286843282786,33.6286843282786,33.6286843282786,1.26749892286309,1.26749892286309,1.26749892286309,66.5136528176858,66.5136528176858,66.5136528176858,5.0,5,5,1,0,0,0,0,0
108267e0-6c58-4b90-80b2-801905c131ba,108267e0-6c58-4b90-80b2-801905c131ba,0,0,209,5.723585101952381,0,2,206.0,81,328,410,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1,12.0,12,12,64.8606919931136,64.8606919931136,64.8606919931136,38.7534361530196,38.7534361530196,38.7534361530196,49.2242006762668,49.2242006762668,49.2242006762668,17.0,17,17,1,0,0,0,0,0
d24491d0-74aa-4ae3-bc05-b95b39bee870,d24491d0-74aa-4ae3-bc05-b95b39bee870,1,3,139,5.356586274672012,0,2,502.0,3,103,107,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1,61.0,61,61,110.219660401962,110.219660401962,110.219660401962,44.832017958624,44.832017958624,44.832017958624,35.427793155156,35.427793155156,35.427793155156,15.0,15,15,1,0,0,0,0,0
20ebe173-53d7-4d7e-9077-c5c575e861de,20ebe173-53d7-4d7e-9077-c5c575e861de,0,2,158,2.833213344056216,0,2,262.0,31,120,152,1,0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0,91.0,91,91,1.70444122289126,1.70444122289126,1.70444122289126,88.0515297723338,88.0515297723338,88.0515297723338,20.6063437612706,20.6063437612706,20.6063437612706,18.0,18,18,1,0,0,0,0,0
dc013c9b-9d06-4afc-8e73-716ba7542bbf,dc013c9b-9d06-4afc-8e73-716ba7542bbf,1,1,50,4.955827057601261,0,0,333.0,116,253,370,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,22,22,78.466904975765,78.466904975765,78.466904975765,80.8247862596278,80.8247862596278,80.8247862596278,79.6681798735026,79.6681798735026,79.6681798735026,25.0,25,25,1,0,0,0,0,0
c75d3f84-7215-41e4-9e73-d99bff85742b,c75d3f84-7215-41e4-9e73-d99bff85742b,1,2,4,6.052089168924417,0,0,485.0,51,24,76,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74.0,74,74,34.3051612947875,34.3051612947875,34.3051612947875,78.4038364400647,78.4038364400647,78.4038364400647,44.7478761922235,44.7478761922235,44.7478761922235,16.0,16,16,1,0,0,0,0,0
afe32317-ea0d-48d7-95c2-bb1189549d00,afe32317-ea0d-48d7-95c2-bb1189549d00,1,4,173,5.214935757608986,0,1,208.0,64,39,104,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0,63.0,63,63,21.7720056039554,21.7720056039554,21.7720056039554,64.5788793141558,64.5788793141558,64.5788793141558,74.1159694876597,74.1159694876597,74.1159694876597,21.0,21,21,1,0,0,0,0,0
a1f9edd4-0568-4984-a424-e8a776340165,a1f9edd4-0568-4984-a424-e8a776340165,1,4,35,5.877735781779639,0,3,363.0,93,258,352,1,1,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76.0,76,76,21.3376381189599,21.3376381189599,21.3376381189599,78.6239720595594,78.6239720595594,78.6239720595594,72.994090853586,72.994090853586,72.994090853586,22.0,22,22,1,0,0,0,0,0
