id,customer_id,category,priority,status,title,description,created_at,resolved_at
d3e34b47-031b-4160-90dd-0d97354e01ce,009d626c-cb9a-44e1-ad0a-12309874f4e7,Technical Issue,High,Closed,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
1c2f429a-d55d-4f69-b8c2-8ae95c231438,00e950ae-023f-4e42-bfbf-1c7e41cbd867,Technical Issue,Medium,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
364b62fd-f420-4b67-ae94-8ec0dab4af28,01090744-4276-4f79-8686-100bc9475ec0,Technical Issue,High,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
86b8de3a-ac91-4d9e-9af6-5ee194806322,011a0d3c-977e-4ecb-9953-b2f6166d7dc5,Technical Issue,Medium,Closed,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
3be3a325-3af7-47c5-b048-1498d0c2c82d,011ed814-bbdb-4865-9ba4-95c4f5d698af,Technical Issue,Medium,Open,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
6acdf79a-1a5e-4905-8c40-81bd898c82ec,0169e077-74a9-4dd4-8249-d0347824d425,Technical Issue,Medium,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
3d67b74e-6301-4028-9f67-a2783aba8cb3,016c979f-ebd6-4c95-88b3-3e4738e5c146,Technical Issue,Low,Closed,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
d9ef4397-b304-4996-b399-425b05c57a82,01a22e0e-e6af-493c-a977-379288552cd7,Technical Issue,Medium,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
232e6286-dfed-4ac9-a945-ccf0461996d7,01ac7879-7613-4d44-8998-331c212cc476,Technical Issue,Medium,Open,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
1e848375-1b7e-4515-9ac3-c8565d06b218,024852d8-61d8-4e86-a7be-27ec5cacdb76,Technical Issue,High,Open,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
5e97aa68-e80a-490f-bf9a-ca9e7975aa13,026af19b-9fbf-4116-8cfd-0bac4f46808b,Technical Issue,Low,Closed,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
df045166-1659-41bf-8ba7-f410113d1400,02804d38-661f-4997-a418-c1c326514b29,Technical Issue,Low,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
19ce0d1f-f76c-44b8-bf49-f627046bb3d8,02b411e7-bf08-41f8-b97c-ab7266134bdf,Technical Issue,Low,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
a36c2ba6-1097-4e00-8008-b5998590ab54,02ea6664-d086-4e4b-8527-755be87e562d,Technical Issue,Medium,Closed,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
bab11a79-019c-4764-83cb-549ee4674b56,0355b37b-6af6-4dfd-bda9-147cf1ca8bbd,Technical Issue,High,Open,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
a0d1dbb7-510c-403a-94dc-f392dd5f038f,03b14578-af3a-456e-945f-c0d0215bdb17,Technical Issue,Low,Open,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
a80b936b-72a7-4eee-a10e-a3a2dba7d579,04515406-f8d0-4bad-b7d9-9c9623ff25eb,Technical Issue,High,Pending,Support Ticket,Generated ticket,2026-06-15T07:15:35.601202,
